tweet_id,writer,post_date,body,comment_num,retweet_num,like_num
550503273401417728,Stockaholics,1420085182,Our Penny Stock Picks Gained Over 968% In the Past 5 Weeks! Get our next pick early: http://tinyurl.com/p46mnk2 $XLF $F $FN $MSFT,0,0,0
550503749085454336,gautamkamath,1420085296,Beginning of the end? @WSJ: Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1BmKuz3 $AMZN,0,0,0
550503763635896320,itassessors,1420085299,Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1BmKuz3 $AMZN,0,0,0
550504832684261376,smoran26,1420085554,"@jdude988 the next part is short, but if you've followed the blog, seeing me post about $AAPL computer is very usual. Now the long drawn",0,0,0
550505199241277440,Stockaholics,1420085642,Our Penny Stock Picks Gained Over 968% In the Past 5 Weeks! Get our next pick early: http://tinyurl.com/p46mnk2 $TRX $AAPL $GOOG,0,0,0
550505287682383872,Stockaholics,1420085663,Our Penny Stock Picks Gained Over 968% In the Past 5 Weeks! Get our next pick early: http://tinyurl.com/p46mnk2 $MSFT $ORCL $VOD,0,0,0
550505375611764736,Stockaholics,1420085684,Our Penny Stock Picks Gained Over 968% In the Past 5 Weeks! Get our next pick early: http://tinyurl.com/p46mnk2 $AMZN $QCOM $CSCO,0,0,0
550505412337106944,OUDMG,1420085692,RT WSJ: Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1BmKuz3  $AMZN,0,0,0
550505446134386689,smoran26,1420085700,Stock of the Year: $AAPL Computer -  http://stephenjohnmoran.com/financenews/stock-of-the-year-aapl-computer… via @weebly,0,0,0
550506575182708736,RubiconAssoc,1420085970,Apple Customers Sue Over Shortage of Storage Space in iOS 8.  $AAPL. Forcing folks to the iCloud.,0,0,0
550508554642550784,EarnStock,1420086442,Options Investor Newsletter Issue 137 http://stocksaints.com/newsletter/12886/options_investor_newsletter_issue_137… $USO $AMZN $TSLA $EXC $ALL $DVA @RobertWeinstein @stocksaints,0,0,0
550510764042121217,smoran26,1420086968,*FEATURE PRESENTATION* - THE MASSACRE: PART ONE - Stock of the Year - $AAPL Computer #Vegas #NYE  http://stephenjohnmoran.com/a-writers-diary/feature-presentation-the-massacre-part-one-stock-of-the-year-aapl-computer-vegas-nye… via @weebly,0,0,0
550513366331305984,hroblesq,1420087589,Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1BmKuz3 $AMZN,0,0,0
550513497206169600,EarnStock,1420087620,Spouse seeing #Amazon Prime gift orders? Share your acct so it doesn't happen anymore $AMZN  http://1reason.com/ins/insurance-tips-advice/how-to-share-your-amazon-prime-free-two-day-shipping-with-family/…,0,0,0
550513952820432897,TradeInTheZone,1420087729,Loved that $Googl ad,0,0,0
550514037155704832,davidspitz,1420087749,"@skupor @business hmm, maybe peer selection bias. $aapl spends less as a % of revenue on R&D.",0,0,1
